,Source_Port,Destination_Port,NAT_Source_Port,NAT_Destination_Port,Action,Bytes,Bytes_Sent,Bytes_Received,Packets,Elapsed_Time_(sec),pkts_sent,pkts_received
0,57222,53,54587,53,allow,177,94,83,2,30,1,1
1,56258,3389,56258,3389,allow,4768,1600,3168,19,17,10,9
2,6881,50321,43265,50321,allow,238,118,120,2,1199,1,1
3,50553,3389,50553,3389,allow,3327,1438,1889,15,17,8,7
4,50002,443,45848,443,allow,25358,6778,18580,31,16,13,18
5,51465,443,39975,443,allow,3961,1595,2366,21,16,12,9
6,60513,47094,45469,47094,allow,320,140,180,6,7,3,3
7,50049,443,21285,443,allow,7912,3269,4643,23,96,12,11
8,52244,58774,2211,58774,allow,70,70,0,1,5,1,0
9,50627,443,16215,443,allow,8256,1674,6582,31,75,15,16
10,43676,80,45378,80,allow,696,378,318,12,35,7,5
11,52190,443,16680,443,allow,7942,870,7072,22,15,10,12
12,50690,80,20479,80,allow,4805,3639,1166,16,31,9,7
13,55597,53,45448,53,allow,168,86,82,2,30,1,1
14,49164,443,45916,443,allow,7292,950,6342,19,75,9,10
15,36887,443,63451,443,allow,10922,2532,8390,27,28,13,14
16,1939,53,33288,53,allow,210,78,132,2,30,1,1
17,50281,53,33175,53,allow,195,102,93,2,30,1,1
18,57222,53,51448,53,allow,177,94,83,2,30,1,1
19,56710,53,57885,53,allow,177,94,83,2,30,1,1
20,48488,443,26104,443,allow,12993,3240,9753,36,24,18,18
21,50691,80,62082,80,allow,4237,3610,627,15,31,8,7
22,50693,80,54649,80,allow,4465,3390,1075,14,30,8,6
23,1940,53,23603,53,allow,210,78,132,2,30,1,1
24,50172,53,37056,53,allow,211,78,133,2,30,1,1
25,38802,53,38802,53,allow,216,90,126,2,30,1,1
26,50281,53,8038,53,allow,195,102,93,2,30,1,1
27,50051,443,1683,443,allow,7912,3269,4643,23,96,12,11
28,52192,443,41129,443,allow,13948,1150,12798,29,15,14,15
29,57886,443,10717,443,allow,33667,25477,8190,60,33,34,26
30,50289,80,7131,80,allow,7166,1086,6080,18,87,9,9
31,58615,443,30095,443,allow,6796,1541,5255,23,121,11,12
32,38551,53,14191,53,allow,168,78,90,2,30,1,1
33,64787,53,29856,53,allow,728,102,626,2,30,1,1
34,34529,443,30445,443,allow,62652,30891,31761,158,381,67,91
35,52184,443,13267,443,allow,13902,3253,10649,26,135,14,12
36,60377,443,34261,443,allow,8678,2974,5704,50,123,27,23
37,59347,80,59347,80,allow,108790,4633,104157,192,15,66,126
38,50077,443,40548,443,allow,7976,3333,4643,23,25,12,11
39,50149,80,2917,80,allow,11574,901,10673,20,46,11,9
